X	Type	Cluster	halo	delta	Sex	Time	Size_Factor	CellType	peaks	rho	Pseudotime	State	
cell_23	cell_23	ES	FALSE	FALSE	0	0	3	1.38115619	2	0.344916605	2.733443537	0.020369042	1
cell_24	cell_24	ES	FALSE	FALSE	0	0	3	1.332025893	2	0.288028345	3.483780781	0.026133247	1
cell_25	cell_25	Ambiguous	FALSE	FALSE	0	0	3	1.401865822	2	0.18825469	1.98650936	0	1
cell_26	cell_26	ES	FALSE	FALSE	0	0	3	1.380054614	2	0.102814741	2.707379963	0.058701127	1
cell_27	cell_27	ES	FALSE	FALSE	0	0	4	1.162823795	1	0.431505066	1.521011357	11.01511288	7
cell_28	cell_28	ES	FALSE	FALSE	0	0	4	1.2337653	1	0.371355373	0.599939774	9.167539042	1
cell_29	cell_29	ES	FALSE	FALSE	0	0	4	1.283115912	1	0.196884829	1.895285291	8.758814447	1
cell_30	cell_30	ES	FALSE	FALSE	0	0	4	1.215479135	1	0.532621921	0.972714205	11.18539406	7
cell_31	cell_31	ES	FALSE	FALSE	0	0	4	1.12933588	1	0.968611077	1.951284744	11.82933173	2
cell_32	cell_32	ES	FALSE	FALSE	0	0	4	1.081307159	1	0.165822167	1.573716558	11.80723833	2
cell_33	cell_33	ES	FALSE	FALSE	0	0	4	1.16260348	1	0.229321849	2.536121563	11.01806282	7
cell_34	cell_34	ES	FALSE	FALSE	0	0	4	1.208649363	1	0.242310916	2.198683105	9.621934161	1
cell_35	cell_35	ES	FALSE	FALSE	0	0	4	1.364852863	2	0.044994784	2.780343515	4.223970663	1
cell_36	cell_36	ES	FALSE	FALSE	0	0	4	1.407153387	2	0.845921957	0.045672808	5.081722655	1
cell_37	cell_37	ES	FALSE	FALSE	0	0	4	1.400764246	2	0.4127765	2.983991926	4.247759504	1
cell_38	cell_38	ES	FALSE	FALSE	0	0	4	1.395696995	2	0.63364693	0.305364249	4.258821867	1
cell_39	cell_39	ES	FALSE	FALSE	0	0	4	1.25777966	1	0.233649299	1.745977858	8.70606644	1
cell_40	cell_40	ES	FALSE	FALSE	0	0	4	1.207768102	1	0.693749972	0.84892066	9.470038972	1
